Year,State,Age 65-74
2010,Alabama,119519
2010,Alaska,5825
2010,Arizona,83829
2010,Arkansas,47416
2010,California,504092
2010,Colorado,47283
2010,Connecticut,36910
2010,Delaware,14767
2010,District of Columbia,8279
2010,Florida,315648
2010,Georgia,140881
2010,Hawaii,17275
2010,Idaho,18291
2010,Illinois,191046
2010,Indiana,95161
2010,Iowa,35455
2010,Kansas,35993
2010,Kentucky,75616
2010,Louisiana,77607
2010,Maine,18306
2010,Maryland,86662
2010,Massachusetts,86604
2010,Michigan,154157
2010,Minnesota,62862
2010,Mississippi,56524
2010,Missouri,91387
2010,Montana,11641
2010,Nebraska,23279
2010,Nevada,29589
2010,New Hampshire,17718
2010,New Jersey,133700
2010,New Mexico,29849
2010,New York,284128
2010,North Carolina,156252
2010,North Dakota,7588
2010,Ohio,199461
2010,Oklahoma,68423
2010,Oregon,51540
2010,Pennsylvania,220307
2010,Rhode Island,13314
2010,South Carolina,89845
2010,South Dakota,8260
2010,Tennessee,119933
2010,Texas,341031
2010,Utah,25699
2010,Vermont,7941
2010,Virginia,127733
2010,Washington,85477
2010,West Virginia,36343
2010,Wisconsin,71732
2010,Wyoming,7313
2010,Guam,2277
2010,Puerto Rico,81675
2010,Virgin Islands of the U.S.,1537
2011,Alabama,91201
2011,Alaska,7045
2011,Arizona,108682
2011,Arkansas,55702
2011,California,488205
2011,Colorado,58506
2011,Connecticut,63966
2011,Delaware,14958
2011,District of Columbia,8336
2011,Florida,420830
2011,Georgia,171216
2011,Hawaii,19350
2011,Idaho,23139
2011,Illinois,194797
2011,Indiana,108769
2011,Iowa,41723
2011,Kansas,39834
2011,Kentucky,78388
2011,Louisiana,77096
2011,Maine,21470
2011,Maryland,88902
2011,Massachusetts,87042
2011,Michigan,161003
2011,Minnesota,59504
2011,Mississippi,54023
2011,Missouri,99398
2011,Montana,16227
2011,Nebraska,25558
2011,Nevada,47704
2011,New Hampshire,18765
2011,New Jersey,141063
2011,New Mexico,32173
2011,New York,346219
2011,North Carolina,168332
2011,North Dakota,10064
2011,Ohio,189112
2011,Oklahoma,62876
2011,Oregon,60674
2011,Pennsylvania,250168
2011,Rhode Island,15756
2011,South Carolina,100054
2011,South Dakota,13037
2011,Tennessee,138562
2011,Texas,342100
2011,Utah,25830
2011,Vermont,8728
2011,Virginia,138992
2011,Washington,91571
2011,West Virginia,36372
2011,Wisconsin,77945
2011,Wyoming,7849
2011,Guam,2007
2011,Puerto Rico,92797
2011,Virgin Islands of the U.S.,
2012,Alabama,103724
2012,Alaska,8069
2012,Arizona,97883
2012,Arkansas,55701
2012,California,546752
2012,Colorado,63054
2012,Connecticut,60206
2012,Delaware,15469
2012,District of Columbia,7820
2012,Florida,392792
2012,Georgia,189861
2012,Hawaii,16415
2012,Idaho,24410
2012,Illinois,207964
2012,Indiana,120060
2012,Iowa,53555
2012,Kansas,44588
2012,Kentucky,79619
2012,Louisiana,93638
2012,Maine,24602
2012,Maryland,107720
2012,Massachusetts,104909
2012,Michigan,192088
2012,Minnesota,67149
2012,Mississippi,64539
2012,Missouri,115804
2012,Montana,12887
2012,Nebraska,24706
2012,Nevada,45041
2012,New Hampshire,25781
2012,New Jersey,153262
2012,New Mexico,33167
2012,New York,346154
2012,North Carolina,185706
2012,North Dakota,11231
2012,Ohio,228652
2012,Oklahoma,75315
2012,Oregon,65936
2012,Pennsylvania,240948
2012,Rhode Island,18204
2012,South Carolina,100585
2012,South Dakota,12944
2012,Tennessee,139909
2012,Texas,450182
2012,Utah,30288
2012,Vermont,8742
2012,Virginia,163237
2012,Washington,108495
2012,West Virginia,48014
2012,Wisconsin,79120
2012,Wyoming,8150
2012,Guam,1950
2012,Puerto Rico,106927
2012,Virgin Islands of the U.S.,
2013,Alabama,112011
2013,Alaska,8583
2013,Arizona,126208
2013,Arkansas,56679
2013,California,596185
2013,Colorado,68759
2013,Connecticut,59769
2013,Delaware,19513
2013,District of Columbia,8080
2013,Florida,470493
2013,Georgia,175052
2013,Hawaii,24734
2013,Idaho,25421
2013,Illinois,243236
2013,Indiana,135924
2013,Iowa,62519
2013,Kansas,46058
2013,Kentucky,91102
2013,Louisiana,102889
2013,Maine,24278
2013,Maryland,105376
2013,Massachusetts,100587
2013,Michigan,182348
2013,Minnesota,69701
2013,Mississippi,63071
2013,Missouri,100365
2013,Montana,16183
2013,Nebraska,29813
2013,Nevada,45422
2013,New Hampshire,22320
2013,New Jersey,161876
2013,New Mexico,41034
2013,New York,384336
2013,North Carolina,198557
2013,North Dakota,11969
2013,Ohio,240511
2013,Oklahoma,73797
2013,Oregon,57173
2013,Pennsylvania,253573
2013,Rhode Island,17280
2013,South Carolina,119079
2013,South Dakota,14100
2013,Tennessee,134777
2013,Texas,439436
2013,Utah,35886
2013,Vermont,11237
2013,Virginia,149278
2013,Washington,122248
2013,West Virginia,49769
2013,Wisconsin,95240
2013,Wyoming,10032
2013,Guam,2295
2013,Puerto Rico,116937
2013,Virgin Islands of the U.S.,
2014,Alabama,107687
2014,Alaska,10642
2014,Arizona,133326
2014,Arkansas,67959
2014,California,617561
2014,Colorado,68428
2014,Connecticut,65943
2014,Delaware,23300
2014,District of Columbia,9306
2014,Florida,481311
2014,Georgia,207720
2014,Hawaii,23436
2014,Idaho,23302
2014,Illinois,242364
2014,Indiana,122905
2014,Iowa,59485
2014,Kansas,51684
2014,Kentucky,101026
2014,Louisiana,103509
2014,Maine,26972
2014,Maryland,120684
2014,Massachusetts,129796
2014,Michigan,223966
2014,Minnesota,81777
2014,Mississippi,70369
2014,Missouri,127495
2014,Montana,16844
2014,Nebraska,30030
2014,Nevada,60811
2014,New Hampshire,24271
2014,New Jersey,181903
2014,New Mexico,46316
2014,New York,360679
2014,North Carolina,194156
2014,North Dakota,12173
2014,Ohio,258460
2014,Oklahoma,85393
2014,Oregon,76825
2014,Pennsylvania,277758
2014,Rhode Island,20093
2014,South Carolina,116028
2014,South Dakota,13509
2014,Tennessee,163100
2014,Texas,510020
2014,Utah,33916
2014,Vermont,9817
2014,Virginia,170411
2014,Washington,114133
2014,West Virginia,54830
2014,Wisconsin,96124
2014,Wyoming,8932
2014,Guam,2033
2014,Puerto Rico,115789
2014,Virgin Islands of the U.S.,
2015,Alabama,130248
2015,Alaska,10289
2015,Arizona,128873
2015,Arkansas,67431
2015,California,728357
2015,Colorado,77400
2015,Connecticut,64885
2015,Delaware,21645
2015,District of Columbia,9229
2015,Florida,502126
2015,Georgia,205779
2015,Hawaii,20723
2015,Idaho,29421
2015,Illinois,299048
2015,Indiana,129914
2015,Iowa,57679
2015,Kansas,56769
2015,Kentucky,112382
2015,Louisiana,117930
2015,Maine,28565
2015,Maryland,113655
2015,Massachusetts,112032
2015,Michigan,211429
2015,Minnesota,79554
2015,Mississippi,83905
2015,Missouri,131269
2015,Montana,18224
2015,Nebraska,30931
2015,Nevada,55793
2015,New Hampshire,26361
2015,New Jersey,183010
2015,New Mexico,43359
2015,New York,385409
2015,North Carolina,221581
2015,North Dakota,12971
2015,Ohio,254164
2015,Oklahoma,83804
2015,Oregon,84585
2015,Pennsylvania,310232
2015,Rhode Island,19649
2015,South Carolina,125056
2015,South Dakota,13125
2015,Tennessee,148029
2015,Texas,516411
2015,Utah,38961
2015,Vermont,10613
2015,Virginia,181996
2015,Washington,127999
2015,West Virginia,49968
2015,Wisconsin,96809
2015,Wyoming,10552
2015,Guam,2122
2015,Puerto Rico,119574
2015,Virgin Islands of the U.S.,
2016,Alabama,126482
2016,Alaska,11974
2016,Arizona,145834
2016,Arkansas,77342
2016,California,725088
2016,Colorado,76286
2016,Connecticut,73115
2016,Delaware,23417
2016,District of Columbia,10307
2016,Florida,566148
2016,Georgia,230116
2016,Hawaii,26956
2016,Idaho,32609
2016,Illinois,224669
2016,Indiana,147911
2016,Iowa,64873
2016,Kansas,56056
2016,Kentucky,114805
2016,Louisiana,116125
2016,Maine,30513
2016,Maryland,131977
2016,Massachusetts,138117
2016,Michigan,220337
2016,Minnesota,93373
2016,Mississippi,75104
2016,Missouri,144956
2016,Montana,18423
2016,Nebraska,31372
2016,Nevada,67419
2016,New Hampshire,25920
2016,New Jersey,186986
2016,New Mexico,51068
2016,New York,416933
2016,North Carolina,233587
2016,North Dakota,12073
2016,Ohio,266926
2016,Oklahoma,86781
2016,Oregon,88642
2016,Pennsylvania,339176
2016,Rhode Island,20240
2016,South Carolina,135394
2016,South Dakota,14229
2016,Tennessee,172954
2016,Texas,574498
2016,Utah,41351
2016,Vermont,11406
2016,Virginia,183467
2016,Washington,129663
2016,West Virginia,59106
2016,Wisconsin,108663
2016,Wyoming,9511
2016,Guam,2246
2016,Puerto Rico,114969
2016,Virgin Islands of the U.S.,2369
2017,Alabama,138657
2017,Alaska,9909
2017,Arizona,145855
2017,Arkansas,78301
2017,California,789566
2017,Colorado,77935
2017,Connecticut,69667
2017,Delaware,24997
2017,District of Columbia,7866
2017,Florida,500326
2017,Georgia,218307
2017,Hawaii,28269
2017,Idaho,28082
2017,Illinois,250511
2017,Indiana,153930
2017,Iowa,59201
2017,Kansas,57357
2017,Kentucky,120545
2017,Louisiana,116312
2017,Maine,30508
2017,Maryland,117561
2017,Massachusetts,133945
2017,Michigan,227278
2017,Minnesota,88876
2017,Mississippi,79237
2017,Missouri,137613
2017,Montana,17341
2017,Nebraska,37346
2017,Nevada,61369
2017,New Hampshire,27827
2017,New Jersey,192932
2017,New Mexico,40192
2017,New York,418518
2017,North Carolina,217483
2017,North Dakota,13385
2017,Ohio,274361
2017,Oklahoma,92109
2017,Oregon,90772
2017,Pennsylvania,294519
2017,Rhode Island,20060
2017,South Carolina,144684
2017,South Dakota,18879
2017,Tennessee,176095
2017,Texas,565705
2017,Utah,43525
2017,Vermont,11874
2017,Virginia,169939
2017,Washington,131459
2017,West Virginia,58231
2017,Wisconsin,113800
2017,Wyoming,11000
2017,Guam,2307
2017,Puerto Rico,137633
2017,Virgin Islands of the U.S.,
2018,Alabama,149568
2018,Alaska,10312
2018,Arizona,169809
2018,Arkansas,87775
2018,California,850914
2018,Colorado,84758
2018,Connecticut,67663
2018,Delaware,25000
2018,District of Columbia,10422
2018,Florida,648593
2018,Georgia,279998
2018,Hawaii,31872
2018,Idaho,37608
2018,Illinois,280321
2018,Indiana,174099
2018,Iowa,65388
2018,Kansas,71186
2018,Kentucky,126676
2018,Louisiana,118573
2018,Maine,31291
2018,Maryland,131562
2018,Massachusetts,130102
2018,Michigan,228791
2018,Minnesota,102226
2018,Mississippi,94239
2018,Missouri,146993
2018,Montana,20082
2018,Nebraska,33056
2018,Nevada,74281
2018,New Hampshire,27414
2018,New Jersey,236418
2018,New Mexico,51276
2018,New York,470002
2018,North Carolina,288912
2018,North Dakota,14993
2018,Ohio,292916
2018,Oklahoma,95214
2018,Oregon,84285
2018,Pennsylvania,285507
2018,Rhode Island,24531
2018,South Carolina,149402
2018,South Dakota,18745
2018,Tennessee,201310
2018,Texas,727474
2018,Utah,47213
2018,Vermont,13465
2018,Virginia,192622
2018,Washington,150366
2018,West Virginia,64316
2018,Wisconsin,107684
2018,Wyoming,10120
2018,Guam,2148
2018,Puerto Rico,132885
2018,Virgin Islands of the U.S.,
2019,Alabama,137006
2019,Alaska,9794
2019,Arizona,152666
2019,Arkansas,80322
2019,California,819936
2019,Colorado,81918
2019,Connecticut,68818
2019,Delaware,28855
2019,District of Columbia,12276
2019,Florida,585462
2019,Georgia,222993
2019,Hawaii,32106
2019,Idaho,37334
2019,Illinois,328404
2019,Indiana,172353
2019,Iowa,63897
2019,Kansas,60849
2019,Kentucky,121311
2019,Louisiana,126941
2019,Maine,33977
2019,Maryland,130424
2019,Massachusetts,128353
2019,Michigan,254895
2019,Minnesota,105793
2019,Mississippi,91033
2019,Missouri,135785
2019,Montana,18963
2019,Nebraska,39775
2019,Nevada,68944
2019,New Hampshire,26654
2019,New Mexico,50693
2019,New York,436923
2019,North Carolina,256412
2019,North Dakota,15070
2019,Ohio,312274
2019,Oklahoma,96754
2019,Oregon,84042
2019,Pennsylvania,293712
2019,Rhode Island,23015
2019,South Carolina,151340
2019,South Dakota,20310
2019,Tennessee,187715
