Year,State,Age 75+
2010,Alabama,53204
2010,Alaska,3910
2010,Arizona,70637
2010,Arkansas,35971
2010,California,383222
2010,Colorado,36154
2010,Connecticut,42552
2010,Delaware,10970
2010,District of Columbia,7489
2010,Florida,327732
2010,Georgia,84159
2010,Hawaii,17835
2010,Idaho,16213
2010,Illinois,132250
2010,Indiana,81635
2010,Iowa,37682
2010,Kansas,33373
2010,Kentucky,44993
2010,Louisiana,59084
2010,Maine,17981
2010,Maryland,64151
2010,Massachusetts,72425
2010,Michigan,129603
2010,Minnesota,56474
2010,Mississippi,37627
2010,Missouri,65573
2010,Montana,10543
2010,Nebraska,21427
2010,Nevada,24254
2010,New Hampshire,16001
2010,New Jersey,121952
2010,New Mexico,22902
2010,New York,239565
2010,North Carolina,107885
2010,North Dakota,8449
2010,Ohio,158351
2010,Oklahoma,43725
2010,Oregon,41486
2010,Pennsylvania,216060
2010,Rhode Island,14374
2010,South Carolina,47785
2010,South Dakota,10609
2010,Tennessee,74468
2010,Texas,263314
2010,Utah,24654
2010,Vermont,6891
2010,Virginia,86255
2010,Washington,60923
2010,West Virginia,26537
2010,Wisconsin,61272
2010,Wyoming,4765
2010,Guam,
2010,Puerto Rico,61694
2010,Virgin Islands of the U.S.,880
2011,Alabama,65638
2011,Alaska,4745
2011,Arizona,66633
2011,Arkansas,35504
2011,California,379353
2011,Colorado,39029
2011,Connecticut,48298
2011,Delaware,13654
2011,District of Columbia,8227
2011,Florida,300422
2011,Georgia,102972
2011,Hawaii,18074
2011,Idaho,17668
2011,Illinois,169126
2011,Indiana,74966
2011,Iowa,42128
2011,Kansas,37765
2011,Kentucky,52119
2011,Louisiana,61969
2011,Maine,19687
2011,Maryland,73366
2011,Massachusetts,83594
2011,Michigan,132303
2011,Minnesota,50953
2011,Mississippi,41050
2011,Missouri,88139
2011,Montana,12029
2011,Nebraska,21840
2011,Nevada,25580
2011,New Hampshire,17416
2011,New Jersey,108679
2011,New Mexico,24592
2011,New York,271642
2011,North Carolina,125141
2011,North Dakota,8998
2011,Ohio,155679
2011,Oklahoma,51210
2011,Oregon,44511
2011,Pennsylvania,187002
2011,Rhode Island,12901
2011,South Carolina,61188
2011,South Dakota,12082
2011,Tennessee,98505
2011,Texas,240079
2011,Utah,22650
2011,Vermont,6539
2011,Virginia,88559
2011,Washington,72466
2011,West Virginia,27474
2011,Wisconsin,70168
2011,Wyoming,5183
2011,Guam,887
2011,Puerto Rico,65007
2011,Virgin Islands of the U.S.,
2012,Alabama,72224
2012,Alaska,3875
2012,Arizona,72623
2012,Arkansas,36961
2012,California,408226
2012,Colorado,41302
2012,Connecticut,40892
2012,Delaware,12514
2012,District of Columbia,8540
2012,Florida,356480
2012,Georgia,96986
