Year,State,Female
2010,Alabama,258098
2010,Alaska,15313
2010,Arizona,217751
2010,Arkansas,106412
2010,California,1229884
2010,Colorado,102071
2010,Connecticut,95093
2010,Delaware,29343
2010,District of Columbia,23078
2010,Florida,689857
2010,Georgia,378665
2010,Hawaii,39870
2010,Idaho,40469
2010,Illinois,438329
2010,Indiana,220658
2010,Iowa,86254
2010,Kansas,88450
2010,Kentucky,166701
2010,Louisiana,190117
2010,Maine,45330
2010,Maryland,205267
2010,Massachusetts,182428
2010,Michigan,347146
2010,Minnesota,118249
2010,Mississippi,143463
2010,Missouri,209088
2010,Montana,21482
2010,Nebraska,48741
2010,Nevada,68779
2010,New Hampshire,32005
2010,New Jersey,293081
2010,New Mexico,66819
2010,New York,621462
2010,North Carolina,369674
2010,North Dakota,15467
2010,Ohio,438638
2010,Oklahoma,143298
2010,Oregon,100941
2010,Pennsylvania,468569
2010,Rhode Island,30767
2010,South Carolina,190988
2010,South Dakota,19254
2010,Tennessee,287884
2010,Texas,863893
2010,Utah,63763
2010,Vermont,17191
2010,Virginia,253256
2010,Washington,187383
2010,West Virginia,84644
2010,Wisconsin,143419
2010,Wyoming,14935
2010,Guam,5619
2010,Puerto Rico,201704
2010,Virgin Islands of the U.S.,3833
2011,Alabama,236212
2011,Alaska,20542
2011,Arizona,210038
2011,Arkansas,120729
2011,California,1106430
2011,Colorado,115238
2011,Connecticut,123503
2011,Delaware,33451
2011,District of Columbia,23159
2011,Florida,731396
2011,Georgia,383761
2011,Hawaii,44666
2011,Idaho,48469
2011,Illinois,428240
2011,Indiana,252308
2011,Iowa,94272
2011,Kansas,97983
2011,Kentucky,190177
2011,Louisiana,201673
2011,Maine,47871
2011,Maryland,212219
2011,Massachusetts,198235
2011,Michigan,376269
2011,Minnesota,135853
2011,Mississippi,150919
2011,Missouri,240656
2011,Montana,30386
2011,Nebraska,56578
2011,Nevada,90522
2011,New Hampshire,38708
2011,New Jersey,277251
2011,New Mexico,78271
2011,New York,787104
2011,North Carolina,398230
2011,North Dakota,19920
2011,Ohio,447971
2011,Oklahoma,146574
2011,Oregon,130669
2011,Pennsylvania,448956
2011,Rhode Island,37210
2011,South Carolina,231932
2011,South Dakota,23182
2011,Tennessee,282608
2011,Texas,887805
2011,Utah,61327
2011,Vermont,18269
2011,Virginia,340944
2011,Washington,217174
2011,West Virginia,92861
2011,Wisconsin,197012
2011,Wyoming,17066
2011,Guam,5629
2011,Puerto Rico,210490
2011,Virgin Islands of the U.S.,
2012,Alabama,228308
2012,Alaska,18902
2012,Arizona,252709
2012,Arkansas,131712
2012,California,1350686
2012,Colorado,129973
2012,Connecticut,109346
2012,Delaware,31637
2012,District of Columbia,23229
2012,Florida,822087
2012,Georgia,379367
2012,Hawaii,41067
2012,Idaho,44923
2012,Illinois,431506
2012,Indiana,269156
2012,Iowa,106043
2012,Kansas,99673
2012,Kentucky,184127
2012,Louisiana,226903
2012,Maine,51133
2012,Maryland,241569
2012,Massachusetts,212180
2012,Michigan,366591
2012,Minnesota,137556
2012,Mississippi,150319
2012,Missouri,236867
2012,Montana,25964
2012,Nebraska,55233
2012,Nevada,89827
2012,New Hampshire,42301
2012,New Jersey,305832
2012,New Mexico,78496
2012,New York,679033
2012,North Carolina,385910
2012,North Dakota,21815
2012,Ohio,491049
2012,Oklahoma,155872
2012,Oregon,150375
2012,Pennsylvania,514981
2012,Rhode Island,39989
2012,South Carolina,220289
2012,South Dakota,25832
2012,Tennessee,302503
2012,Texas,999441
2012,Utah,68688
2012,Vermont,17938
2012,Virginia,350187
2012,Washington,236713
2012,West Virginia,99640
2012,Wisconsin,182090
2012,Wyoming,17495
2012,Guam,5192
2012,Puerto Rico,262077
2012,Virgin Islands of the U.S.,
2013,Alabama,273122
2013,Alaska,17604
2013,Arizona,253966
2013,Arkansas,121615
2013,California,1504837
2013,Colorado,118742
2013,Connecticut,110275
2013,Delaware,42348
2013,District of Columbia,24169
2013,Florida,813950
2013,Georgia,457319
2013,Hawaii,46338
2013,Idaho,43421
2013,Illinois,515437
2013,Indiana,263690
2013,Iowa,113013
2013,Kansas,102919
2013,Kentucky,183577
2013,Louisiana,231366
2013,Maine,49055
2013,Maryland,241171
2013,Massachusetts,225414
2013,Michigan,381082
2013,Minnesota,147784
2013,Mississippi,160651
2013,Missouri,244065
2013,Montana,27828
2013,Nebraska,59270
2013,Nevada,90456
2013,New Hampshire,42527
2013,New Jersey,295582
2013,New Mexico,86195
2013,New York,878095
2013,North Carolina,443925
2013,North Dakota,21656
2013,Ohio,475062
2013,Oklahoma,149093
2013,Oregon,135898
2013,Pennsylvania,524817
2013,Rhode Island,35783
2013,South Carolina,255965
2013,South Dakota,29397
2013,Tennessee,314151
2013,Texas,1029605
2013,Utah,68843
2013,Vermont,18235
2013,Virginia,320925
2013,Washington,219892
2013,West Virginia,95278
2013,Wisconsin,185899
2013,Wyoming,19142
2013,Guam,7781
2013,Puerto Rico,234661
2013,Virgin Islands of the U.S.,
2014,Alabama,252916
2014,Alaska,22928
2014,Arizona,239846
2014,Arkansas,145361
2014,California,1452824
2014,Colorado,143850
2014,Connecticut,133706
2014,Delaware,40517
2014,District of Columbia,25818
2014,Florida,942132
2014,Georgia,453602
2014,Hawaii,52053
2014,Idaho,45305
2014,Illinois,492198
2014,Indiana,264316
2014,Iowa,106541
2014,Kansas,114488
2014,Kentucky,222428
2014,Louisiana,200397
2014,Maine,47996
2014,Maryland,235651
2014,Massachusetts,225241
2014,Michigan,381376
2014,Minnesota,159762
2014,Mississippi,157399
2014,Missouri,261228
2014,Montana,34317
2014,Nebraska,61840
2014,Nevada,97398
2014,New Hampshire,46205
2014,New Jersey,330736
2014,New Mexico,90796
2014,New York,766732
2014,North Carolina,427730
2014,North Dakota,22435
2014,Ohio,522935
2014,Oklahoma,175028
2014,Oregon,143843
2014,Pennsylvania,552801
2014,Rhode Island,37393
2014,South Carolina,231249
2014,South Dakota,27973
2014,Tennessee,335158
2014,Texas,1053503
2014,Utah,69785
2014,Vermont,18241
2014,Virginia,327793
2014,Washington,224855
2014,West Virginia,106441
2014,Wisconsin,197382
2014,Wyoming,16440
2014,Guam,6239
2014,Puerto Rico,245892
2014,Virgin Islands of the U.S.,
2015,Alabama,275124
2015,Alaska,20233
2015,Arizona,272244
2015,Arkansas,162621
2015,California,1427813
2015,Colorado,124244
2015,Connecticut,121642
2015,Delaware,42038
2015,District of Columbia,25833
2015,Florida,905230
2015,Georgia,449962
2015,Hawaii,46756
2015,Idaho,54062
2015,Illinois,462129
2015,Indiana,277500
2015,Iowa,96531
2015,Kansas,106776
2015,Kentucky,220458
2015,Louisiana,233379
2015,Maine,53580
2015,Maryland,236955
2015,Massachusetts,235885
2015,Michigan,397902
2015,Minnesota,152299
2015,Mississippi,170568
2015,Missouri,258506
2015,Montana,30622
2015,Nebraska,62022
2015,Nevada,97723
2015,New Hampshire,41282
2015,New Jersey,294120
2015,New Mexico,93624
2015,New York,743200
2015,North Carolina,448316
2015,North Dakota,25718
2015,Ohio,498976
2015,Oklahoma,174432
2015,Oregon,148971
2015,Pennsylvania,519783
2015,Rhode Island,36753
2015,South Carolina,232468
2015,South Dakota,27224
2015,Tennessee,336710
2015,Texas,1093200
2015,Utah,69279
2015,Vermont,18967
2015,Virginia,364302
2015,Washington,220042
2015,West Virginia,106460
2015,Wisconsin,177568
2015,Wyoming,15870
2015,Guam,6167
2015,Puerto Rico,269985
2015,Virgin Islands of the U.S.,
2016,Alabama,284513
2016,Alaska,19140
2016,Arizona,252720
2016,Arkansas,162072
2016,California,1528093
2016,Colorado,137911
2016,Connecticut,139305
2016,Delaware,39880
2016,District of Columbia,26933
2016,Florida,944350
2016,Georgia,501146
2016,Hawaii,56002
2016,Idaho,56693
2016,Illinois,549983
2016,Indiana,298398
2016,Iowa,116249
2016,Kansas,98524
2016,Kentucky,217457
2016,Louisiana,242047
2016,Maine,53626
2016,Maryland,248525
2016,Massachusetts,249691
2016,Michigan,408768
2016,Minnesota,166150
2016,Mississippi,166039
2016,Missouri,267766
2016,Montana,32487
2016,Nebraska,65149
2016,Nevada,130024
2016,New Hampshire,41372
2016,New Jersey,311616
2016,New Mexico,89402
2016,New York,811897
2016,North Carolina,480718
2016,North Dakota,22363
2016,Ohio,499037
2016,Oklahoma,177750
2016,Oregon,150317
2016,Pennsylvania,555563
2016,Rhode Island,41192
2016,South Carolina,261764
2016,South Dakota,24408
2016,Tennessee,321722
2016,Texas,1189736
2016,Utah,70723
2016,Vermont,20488
2016,Virginia,343452
2016,Washington,259737
2016,West Virginia,110310
2016,Wisconsin,187341
2016,Wyoming,18038
2016,Guam,5740
2016,Puerto Rico,231473
2016,Virgin Islands of the U.S.,5615
2017,Alabama,284340
2017,Alaska,19365
2017,Arizona,265771
2017,Arkansas,146345
2017,California,1541114
2017,Colorado,162264
2017,Connecticut,131793
2017,Delaware,41475
2017,District of Columbia,24448
2017,Florida,911731
2017,Georgia,488305
2017,Hawaii,63486
2017,Idaho,58981
2017,Illinois,532353
2017,Indiana,294188
2017,Iowa,119545
2017,Kansas,114926
2017,Kentucky,228581
2017,Louisiana,266186
2017,Maine,49570
2017,Maryland,242354
2017,Massachusetts,269881
2017,Michigan,439640
2017,Minnesota,142349
2017,Mississippi,170568
2017,Missouri,250543
2017,Montana,32011
2017,Nebraska,72618
2017,Nevada,124457
2017,New Hampshire,39477
2017,New Jersey,367589
2017,New Mexico,79183
2017,New York,818732
2017,North Carolina,465866
2017,North Dakota,24830
2017,Ohio,533514
2017,Oklahoma,187737
2017,Oregon,153844
2017,Pennsylvania,518204
2017,Rhode Island,37268
2017,South Carolina,275985
2017,South Dakota,33673
2017,Tennessee,350897
2017,Texas,1179869
2017,Utah,73727
2017,Vermont,17595
2017,Virginia,347982
2017,Washington,258945
2017,West Virginia,112141
2017,Wisconsin,180741
2017,Wyoming,18389
2017,Guam,7607
2017,Puerto Rico,263018
2017,Virgin Islands of the U.S.,
2018,Alabama,291705
2018,Alaska,20638
2018,Arizona,297254
2018,Arkansas,159070
2018,California,1611675
2018,Colorado,152397
2018,Connecticut,127892
2018,Delaware,43118
2018,District of Columbia,26717
2018,Florida,1037754
2018,Georgia,539447
2018,Hawaii,59569
2018,Idaho,65614
2018,Illinois,523350
2018,Indiana,299318
2018,Iowa,119978
2018,Kansas,130090
2018,Kentucky,239627
2018,Louisiana,267670
2018,Maine,53978
2018,Maryland,283973
2018,Massachusetts,205819
2018,Michigan,441700
2018,Minnesota,177060
2018,Mississippi,184334
2018,Missouri,238060
2018,Montana,34560
2018,Nebraska,67373
2018,Nevada,125857
2018,New Hampshire,51518
2018,New Jersey,402522
2018,New Mexico,106917
2018,New York,814139
2018,North Carolina,505606
2018,North Dakota,25303
2018,Ohio,588102
2018,Oklahoma,191630
2018,Oregon,184080
2018,Pennsylvania,577479
2018,Rhode Island,40967
2018,South Carolina,268768
2018,South Dakota,30476
2018,Tennessee,368348
2018,Texas,1317687
2018,Utah,87203
2018,Vermont,21073
2018,Virginia,347990
2018,Washington,281458
2018,West Virginia,128009
2018,Wisconsin,180721
2018,Wyoming,18904
2018,Guam,6441
2018,Puerto Rico,234678
2018,Virgin Islands of the U.S.,
2019,Alabama,276185
2019,Alaska,20881
2019,Arizona,299199
2019,Arkansas,162015
2019,California,1520691
2019,Colorado,155964
2019,Connecticut,129012
2019,Delaware,47269
2019,District of Columbia,27403
2019,Florida,965808
2019,Georgia,541397
2019,Hawaii,53986
2019,Idaho,67251
2019,Illinois,548802
2019,Indiana,299108
2019,Iowa,117119
2019,Kansas,116510
2019,Kentucky,231445
2019,Louisiana,223018
2019,Maine,55471
2019,Maryland,262662
2019,Massachusetts,220408
2019,Michigan,432920
2019,Minnesota,185420
2019,Mississippi,183288
2019,Missouri,248405
2019,Montana,31732
2019,Nebraska,69897
2019,Nevada,128044
2019,New Hampshire,46389
2019,New Mexico,102187
2019,New York,828990
2019,North Carolina,549865
2019,North Dakota,23931
2019,Ohio,527550
2019,Oklahoma,176831
2019,Oregon,148080
2019,Pennsylvania,575542
2019,Rhode Island,40655
2019,South Carolina,280642
2019,South Dakota,31396
2019,Tennessee,361954
2019,Texas,1273381
2019,Utah,86994
2019,Vermont,20798
2019,Virginia,358902
2019,Washington,264618
2019,West Virginia,110749
2019,Wisconsin,185768
2019,Wyoming,16719
2019,Guam,5285
2019,Puerto Rico,249883
2019,New Jersey,
2019,Virgin Islands of the U.S.,
2020,Alabama,278410
2020,Alaska,19086
2020,Arizona,286203
2020,Arkansas,167901
2020,California,1477201
2020,Colorado,170117
2020,Connecticut,126019
2020,Delaware,46111
2020,District of Columbia,24064
2020,Florida,1080769
2020,Georgia,510320
2020,Hawaii,56366
2020,Idaho,58514
2020,Illinois,499717
2020,Indiana,313780
2020,Iowa,127723
2020,Kansas,123971
2020,Kentucky,222314
2020,Louisiana,271882
2020,Maine,52596
2020,Maryland,245353
2020,Massachusetts,248608
2020,Michigan,462514
2020,Minnesota,176834
2020,Mississippi,174774
2020,Missouri,243450
2020,Montana,36782
2020,Nebraska,69032
2020,Nevada,118649
2020,New Hampshire,46257
2020,New Jersey,317632
2020,New Mexico,96499
2020,New York,786630
2020,North Carolina,533033
2020,North Dakota,26767
2020,Ohio,607969
2020,Oklahoma,194001
2020,Oregon,163424
2020,Pennsylvania,549191
2020,Rhode Island,43413
2020,South Carolina,294715
2020,South Dakota,24800
2020,Tennessee,342839
2020,Texas,1238463
2020,Utah,90800
2020,Vermont,18380
2020,Virginia,370312
2020,Washington,253454
2020,West Virginia,105411
2020,Wisconsin,200193
2020,Wyoming,18663
2020,Guam,7216
2020,Puerto Rico,236296
2020,Virgin Islands of the U.S.,
