Year,State,Male
2010,Alabama,207679
2010,Alaska,11602
2010,Arizona,226961
2010,Arkansas,103512
2010,California,1193430
2010,Colorado,127267
2010,Connecticut,100045
2010,Delaware,29099
2010,District of Columbia,16514
2010,Florida,833646
2010,Georgia,329397
2010,Hawaii,42708
2010,Idaho,50118
2010,Illinois,411509
2010,Indiana,251472
2010,Iowa,86694
2010,Kansas,89386
2010,Kentucky,162497
2010,Louisiana,154286
2010,Maine,44891
2010,Maryland,191745
2010,Massachusetts,192005
2010,Michigan,420155
2010,Minnesota,145980
2010,Mississippi,125267
2010,Missouri,213522
2010,Montana,31740
2010,Nebraska,53824
2010,Nevada,95727
2010,New Hampshire,48468
2010,New Jersey,311309
2010,New Mexico,59907
2010,New York,704337
2010,North Carolina,328995
2010,North Dakota,21523
2010,Ohio,439094
2010,Oklahoma,145458
2010,Oregon,110367
2010,Pennsylvania,529128
2010,Rhode Island,33028
2010,South Carolina,180627
2010,South Dakota,22848
2010,Tennessee,254509
2010,Texas,875943
2010,Utah,63896
2010,Vermont,16284
2010,Virginia,263766
2010,Washington,199539
2010,West Virginia,81900
2010,Wisconsin,164699
2010,Wyoming,14439
2010,Guam,5909
2010,Puerto Rico,160398
2010,Virgin Islands of the U.S.,2706
2011,Virgin Islands of the U.S.,
2011,Alabama,189697
2011,Alaska,20539
2011,Arizona,238198
2011,Arkansas,124128
2011,California,1113324
2011,Colorado,137930
2011,Connecticut,130267
2011,Delaware,32854
2011,District of Columbia,20703
2011,Florida,789673
2011,Georgia,341417
2011,Hawaii,43013
2011,Idaho,58144
2011,Illinois,509593
2011,Indiana,242856
2011,Iowa,94790
2011,Kansas,104498
2011,Kentucky,165461
2011,Louisiana,197633
2011,Maine,52881
2011,Maryland,198544
2011,Massachusetts,207426
2011,Michigan,371330
2011,Minnesota,156401
2011,Mississippi,118588
2011,Missouri,222463
2011,Montana,30092
2011,Nebraska,57109
2011,Nevada,116112
2011,New Hampshire,50009
2011,New Jersey,307842
2011,New Mexico,74546
2011,New York,747404
2011,North Carolina,378380
2011,North Dakota,22469
2011,Ohio,426647
2011,Oklahoma,166326
2011,Oregon,143962
2011,Pennsylvania,483229
2011,Rhode Island,31548
2011,South Carolina,193511
2011,South Dakota,34601
2011,Tennessee,256183
2011,Texas,967358
2011,Utah,67289
2011,Vermont,19791
2011,Virginia,294116
2011,Washington,239014
2011,West Virginia,82230
2011,Wisconsin,167274
2011,Wyoming,17819
2011,Guam,4944
2011,Puerto Rico,167973
2012,Virgin Islands of the U.S.,
2012,Alabama,219050
2012,Alaska,18508
2012,Arizona,265325
2012,Arkansas,117428
2012,California,1471043
2012,Colorado,160272
2012,Connecticut,142406
2012,Delaware,36440
2012,District of Columbia,19697
2012,Florida,906966
2012,Georgia,348160
2012,Hawaii,41705
2012,Idaho,51726
2012,Illinois,488252
2012,Indiana,266005
2012,Iowa,118371
2012,Kansas,102831
2012,Kentucky,172432
2012,Louisiana,197279
2012,Maine,50429
2012,Maryland,214481
2012,Massachusetts,219992
2012,Michigan,419974
2012,Minnesota,160868
2012,Mississippi,127864
2012,Missouri,251903
2012,Montana,30000
2012,Nebraska,56506
2012,Nevada,92214
2012,New Hampshire,51533
2012,New Jersey,320760
2012,New Mexico,82245
2012,New York,781330
2012,North Carolina,387769
2012,North Dakota,24421
2012,Ohio,528023
2012,Oklahoma,173593
2012,Oregon,148420
2012,Pennsylvania,497101
2012,Rhode Island,39847
2012,South Carolina,197686
2012,South Dakota,22730
2012,Tennessee,285400
2012,Texas,1029269
2012,Utah,73016
2012,Vermont,18093
2012,Virginia,309807
2012,Washington,225792
2012,West Virginia,90936
2012,Wisconsin,182688
2012,Wyoming,21444
2012,Guam,4940
2012,Puerto Rico,197603
2013,Virgin Islands of the U.S.,
2013,Alabama,241185
2013,Alaska,21397
2013,Arizona,278629
2013,Arkansas,137449
2013,California,1464918
2013,Colorado,141594
2013,Connecticut,123693
2013,Delaware,37775
2013,District of Columbia,17621
2013,Florida,922958
2013,Georgia,356773
2013,Hawaii,45642
2013,Idaho,55556
2013,Illinois,454130
2013,Indiana,282105
2013,Iowa,107779
2013,Kansas,105036
2013,Kentucky,175424
