Year,State,Non-Hispanic Asian or Pacific Islander 
2010,Alabama,
2010,Alaska,
2010,Arizona,
2010,Arkansas,
2010,California,212471
2010,Colorado,
2010,Connecticut,
2010,Delaware,
2010,District of Columbia,
2010,Florida,26955
2010,Georgia,
2010,Hawaii,37989
2010,Idaho,
2010,Illinois,
2010,Indiana,
2010,Iowa,
2010,Kansas,
2010,Kentucky,
2010,Louisiana,
2010,Maine,
2010,Maryland,
2010,Massachusetts,4712
2010,Michigan,
2010,Minnesota,
2010,Mississippi,
2010,Missouri,
2010,Montana,
2010,Nebraska,
2010,Nevada,
2010,New Hampshire,
2010,New Jersey,37944
2010,New Mexico,
2010,New York,69936
2010,North Carolina,
2010,North Dakota,
2010,Ohio,
2010,Oklahoma,
2010,Oregon,
2010,Pennsylvania,
2010,Rhode Island,
2010,South Carolina,
2010,South Dakota,
2010,Tennessee,
2010,Texas,38789
2010,Utah,
2010,Vermont,28
2010,Virginia,
2010,Washington,11018
2010,West Virginia,
2010,Wisconsin,
2010,Wyoming,
2010,Guam,7542
2010,Puerto Rico,
2010,Virgin Islands of the U.S.,
2011,Virgin Islands of the U.S.,
2011,Alabama,
2011,Alaska,
2011,Arizona,
2011,Arkansas,
2011,California,280395
2011,Colorado,
2011,Connecticut,
2011,Delaware,112
2011,District of Columbia,
2011,Florida,
2011,Georgia,
2011,Hawaii,46748
2011,Idaho,
2011,Illinois,
2011,Indiana,
2011,Iowa,
2011,Kansas,
2011,Kentucky,
2011,Louisiana,
2011,Maine,
2011,Maryland,
2011,Massachusetts,10379
2011,Michigan,
2011,Minnesota,9140
2011,Mississippi,
2011,Missouri,
2011,Montana,
2011,Nebraska,
2011,Nevada,
2011,New Hampshire,
2011,New Jersey,40182
2011,New Mexico,
2011,New York,91317
2011,North Carolina,
2011,North Dakota,
2011,Ohio,
2011,Oklahoma,
2011,Oregon,
2011,Pennsylvania,
2011,Rhode Island,
2011,South Carolina,
2011,South Dakota,
2011,Tennessee,
2011,Texas,
2011,Utah,3581
2011,Vermont,
2011,Virginia,
2011,Washington,36914
2011,West Virginia,
2011,Wisconsin,
2011,Wyoming,
2011,Guam,7756
2011,Puerto Rico,
2012,Virgin Islands of the U.S.,
2012,Alabama,
2012,Alaska,425
2012,Arizona,
2012,Arkansas,41
2012,California,375886
2012,Colorado,
2012,Connecticut,
2012,Delaware,
2012,District of Columbia,149
2012,Florida,
2012,Georgia,
2012,Hawaii,43192
2012,Idaho,
2012,Illinois,
2012,Indiana,
2012,Iowa,
2012,Kansas,
2012,Kentucky,
2012,Louisiana,
2012,Maine,
2012,Maryland,17654
2012,Massachusetts,11997
2012,Michigan,
2012,Minnesota,
2012,Mississippi,
2012,Missouri,
2012,Montana,
2012,Nebraska,
2012,Nevada,23236
2012,New Hampshire,
2012,New Jersey,43427
2012,New Mexico,
2012,New York,160099
2012,North Carolina,
2012,North Dakota,
2012,Ohio,
2012,Oklahoma,
2012,Oregon,
2012,Pennsylvania,
2012,Rhode Island,
2012,South Carolina,
2012,South Dakota,
2012,Tennessee,483
2012,Texas,51697
2012,Utah,964
2012,Vermont,
